Hashing Power - 0.18181818181818182
Speed - High

**Blocks in the Blockchain**
Block ID:1,Previous Block ID:0,Miner ID: None,Number of TXNs:0,Time:0
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1821.0407882425516
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5632.308747324957
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7581.856157845662
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11453.432995597883
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12837.554917507381
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14067.519142354591
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15028.039881326164
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17187.10131857057
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20997.458324387288
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22302.353193921474
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25914.624427647796
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27938.260863841973
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29117.28960781577
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30871.918792231394
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32826.737574094215
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35351.18969542492
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37229.02502541245
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39827.750014824276
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41031.79451880604
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42349.524545257904
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:43932.334809773354
Block ID:79,Previous Block ID:74,Miner ID:5,Number of TXNs:1,Time:44973.94951147133
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45172.09518763603
Block ID:81,Previous Block ID:74,Miner ID:9,Number of TXNs:1,Time:45222.96337363231
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46127.000200940776
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:48012.182396045646
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49295.63695962817
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50271.71312567097

**Blocks in the Longest Chain**
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50271.71312567097
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49295.63695962817
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:48012.182396045646
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46127.000200940776
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45172.09518763603
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:43932.334809773354
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42349.524545257904
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41031.79451880604
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39827.750014824276
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37229.02502541245
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35351.18969542492
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32826.737574094215
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30871.918792231394
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29117.28960781577
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27938.260863841973
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25914.624427647796
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22302.353193921474
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20997.458324387288
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17187.10131857057
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15028.039881326164
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14067.519142354591
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12837.554917507381
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11453.432995597883
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7581.856157845662
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5632.308747324957
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1821.0407882425516

Blocks Mined - 16
Blocks Mined in the Longest Chain - 1
