Hashing Power - 0.01818181818181818
Speed - Low

**Blocks in the Blockchain**
Block ID:1,Previous Block ID:0,Miner ID: None,Number of TXNs:0,Time:0
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1928.0466594584316
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5367.7918996725775
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7299.046932584116
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11210.708675296806
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12954.413174993566
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14177.420802644043
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15070.422986127185
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17190.608024458692
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20732.75372959703
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22279.96178644286
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:26025.54083249367
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27899.84317723002
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29189.315270481922
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30832.949538405912
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32950.2573810315
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35311.496021429506
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37333.73161888348
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39581.0791559563
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41033.99889178478
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42456.66319991975
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:44166.744777303924
Block ID:81,Previous Block ID:74,Miner ID:9,Number of TXNs:1,Time:45207.27565447825
Block ID:79,Previous Block ID:74,Miner ID:5,Number of TXNs:1,Time:45208.016086962285
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45225.71795681504
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46112.74504302999
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:47979.15982705398
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49266.643209825124
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50239.42214311541

**Blocks in the Longest Chain**
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50239.42214311541
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49266.643209825124
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:47979.15982705398
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46112.74504302999
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45225.71795681504
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:44166.744777303924
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42456.66319991975
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41033.99889178478
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39581.0791559563
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37333.73161888348
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35311.496021429506
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32950.2573810315
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30832.949538405912
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29189.315270481922
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27899.84317723002
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:26025.54083249367
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22279.96178644286
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20732.75372959703
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17190.608024458692
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15070.422986127185
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14177.420802644043
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12954.413174993566
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11210.708675296806
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7299.046932584116
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5367.7918996725775
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1928.0466594584316

Blocks Mined - 2
Blocks Mined in the Longest Chain - 0
