Hashing Power - 0.01818181818181818
Speed - Low

**Blocks in the Blockchain**
Block ID:1,Previous Block ID:0,Miner ID: None,Number of TXNs:0,Time:0
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1884.413788658668
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5598.8394111509515
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7534.398293003443
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11451.369717296317
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12948.150610682163
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14130.100323759229
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15001.515618548134
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17162.048830832053
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20968.163920817424
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22314.867130409348
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25993.526858452355
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27933.368894282255
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29099.067668388278
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30852.06842153878
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32890.057276252686
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35325.8301538512
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37289.866867674886
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39832.770964659525
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41024.08314170022
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42432.592551194335
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:44150.35692211455
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45149.30820243485
Block ID:79,Previous Block ID:74,Miner ID:5,Number of TXNs:1,Time:45198.03593874253
Block ID:81,Previous Block ID:74,Miner ID:9,Number of TXNs:1,Time:45203.63834754685
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46129.45094495823
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:47996.467763903245
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49307.19881258194
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50239.26146822436

**Blocks in the Longest Chain**
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50239.26146822436
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49307.19881258194
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:47996.467763903245
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46129.45094495823
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45149.30820243485
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:44150.35692211455
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42432.592551194335
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41024.08314170022
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39832.770964659525
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37289.866867674886
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35325.8301538512
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32890.057276252686
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30852.06842153878
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29099.067668388278
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27933.368894282255
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25993.526858452355
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22314.867130409348
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20968.163920817424
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17162.048830832053
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15001.515618548134
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14130.100323759229
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12948.150610682163
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11451.369717296317
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7534.398293003443
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5598.8394111509515
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1884.413788658668

Blocks Mined - 1
Blocks Mined in the Longest Chain - 0
