Hashing Power - 0.01818181818181818
Speed - Low

**Blocks in the Blockchain**
Block ID:1,Previous Block ID:0,Miner ID: None,Number of TXNs:0,Time:0
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1837.3393202146076
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5496.56214130778
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7422.323591373484
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11324.624590817646
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12912.579047927284
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14088.602458516385
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15097.904426608085
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17213.949209095743
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20853.279751775695
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22323.423680763943
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25970.752217090416
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27958.54797987978
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29132.396644731838
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30906.65555630454
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32847.72176042435
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35415.2740051058
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37254.20986248888
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39704.588727574264
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41063.51657910817
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42369.6327085357
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:43954.602202917915
Block ID:79,Previous Block ID:74,Miner ID:5,Number of TXNs:1,Time:44988.37109878164
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45190.971882531354
Block ID:81,Previous Block ID:74,Miner ID:9,Number of TXNs:1,Time:45246.23718214868
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46164.13182698526
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:48047.87775849592
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49328.954305771316
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50289.03131838129

**Blocks in the Longest Chain**
Block ID:93,Previous Block ID:91,Miner ID:9,Number of TXNs:1,Time:50289.03131838129
Block ID:91,Previous Block ID:89,Miner ID:9,Number of TXNs:1,Time:49328.954305771316
Block ID:89,Previous Block ID:84,Miner ID:9,Number of TXNs:1,Time:48047.87775849592
Block ID:84,Previous Block ID:80,Miner ID:7,Number of TXNs:1,Time:46164.13182698526
Block ID:80,Previous Block ID:74,Miner ID:7,Number of TXNs:1,Time:45190.971882531354
Block ID:74,Previous Block ID:71,Miner ID:5,Number of TXNs:1,Time:43954.602202917915
Block ID:71,Previous Block ID:69,Miner ID:6,Number of TXNs:1,Time:42369.6327085357
Block ID:69,Previous Block ID:68,Miner ID:7,Number of TXNs:1,Time:41063.51657910817
Block ID:68,Previous Block ID:66,Miner ID:8,Number of TXNs:1,Time:39704.588727574264
Block ID:66,Previous Block ID:61,Miner ID:6,Number of TXNs:1,Time:37254.20986248888
Block ID:61,Previous Block ID:57,Miner ID:9,Number of TXNs:1,Time:35415.2740051058
Block ID:57,Previous Block ID:51,Miner ID:6,Number of TXNs:1,Time:32847.72176042435
Block ID:51,Previous Block ID:49,Miner ID:9,Number of TXNs:1,Time:30906.65555630454
Block ID:49,Previous Block ID:47,Miner ID:7,Number of TXNs:1,Time:29132.396644731838
Block ID:47,Previous Block ID:42,Miner ID:9,Number of TXNs:1,Time:27958.54797987978
Block ID:42,Previous Block ID:37,Miner ID:6,Number of TXNs:1,Time:25970.752217090416
Block ID:37,Previous Block ID:35,Miner ID:7,Number of TXNs:1,Time:22323.423680763943
Block ID:35,Previous Block ID:31,Miner ID:8,Number of TXNs:1,Time:20853.279751775695
Block ID:31,Previous Block ID:30,Miner ID:7,Number of TXNs:1,Time:17213.949209095743
Block ID:30,Previous Block ID:27,Miner ID:7,Number of TXNs:1,Time:15097.904426608085
Block ID:27,Previous Block ID:25,Miner ID:6,Number of TXNs:1,Time:14088.602458516385
Block ID:25,Previous Block ID:22,Miner ID:6,Number of TXNs:1,Time:12912.579047927284
Block ID:22,Previous Block ID:16,Miner ID:8,Number of TXNs:1,Time:11324.624590817646
Block ID:16,Previous Block ID:9,Miner ID:8,Number of TXNs:1,Time:7422.323591373484
Block ID:9,Previous Block ID:3,Miner ID:8,Number of TXNs:1,Time:5496.56214130778
Block ID:3,Previous Block ID:1,Miner ID:6,Number of TXNs:2,Time:1837.3393202146076

Blocks Mined - 2
Blocks Mined in the Longest Chain - 0
